Name,Team,xBA,xSLG,xwOBA,Barrel%,HardHit%,Max EV,xwOBA_vs_R,xwOBA_vs_L,Batting_Order,PA_L14,xwOBA_L14,Hit_Prob_Score,HR_Prob_Score
Daniel Susac,SF,0.303,0.391,0.37,7.4,36.8,108.7,0.363,0.351,6,33,0.409,67.2,45.3
Drew Gilbert,SF,0.231,0.375,0.294,6.4,32.2,108.2,0.288,0.279,6,36,0.301,56.1,41.2
Eric Haase,SF,0.239,0.563,0.295,8.3,41.6,109.2,0.289,0.28,6,21,0.265,47.6,57.2
Jonah Cox,SF,0.405,0.81,0.415,12.0,60.0,111.0,0.407,0.394,6,16,0.415,69.2,82.5
Jung Hoo Lee,SF,0.338,0.461,0.383,8.2,40.9,109.1,0.375,0.364,6,55,0.542,88.4,51.7
Luis Arraez,SF,0.331,0.448,0.375,8.0,39.9,109.0,0.367,0.356,6,63,0.332,81.2,50.4
Matt Chapman,SF,0.265,0.416,0.36,7.5,37.5,108.8,0.353,0.342,6,55,0.506,79.3,47.0
Rafael Devers,SF,0.235,0.419,0.303,7.0,34.8,108.5,0.297,0.288,6,63,0.285,69.2,45.3
Willy Adames,SF,0.237,0.436,0.293,7.0,35.2,108.5,0.287,0.278,6,52,0.303,64.8,46.4
Alec Burleson,STL,0.295,0.504,0.371,8.5,42.5,109.2,0.364,0.352,6,54,0.422,77.6,55.0
Bryan Torres,STL,0.261,0.472,0.356,8.0,40.1,109.0,0.349,0.338,6,24,0.319,54.1,51.6
Iván Herrera,STL,0.27,0.42,0.408,8.0,40.1,109.0,0.4,0.388,6,55,0.415,75.2,49.0
JJ Wetherholt,STL,0.257,0.4,0.374,7.5,37.4,108.8,0.367,0.355,6,41,0.43,67.7,46.2
Jimmy Crooks,STL,0.205,0.37,0.301,6.5,32.3,108.2,0.295,0.286,6,28,0.301,49.5,41.1
Jordan Walker,STL,0.305,0.568,0.371,9.1,45.7,109.5,0.364,0.352,6,54,0.33,74.0,60.4
José Fermín,STL,0.275,0.403,0.342,7.2,36.0,108.6,0.335,0.325,6,25,0.415,60.8,45.4
Lars Nootbaar,STL,0.227,0.529,0.338,8.4,42.1,109.2,0.331,0.321,6,31,0.338,55.1,55.9
Masyn Winn,STL,0.236,0.326,0.326,6.3,31.3,108.2,0.319,0.31,6,49,0.321,64.2,38.2
Nelson Velázquez,STL,0.353,0.662,0.415,10.5,52.6,110.2,0.407,0.394,6,21,0.348,63.2,69.9
Austin Slater,TB,0.229,0.286,0.307,5.7,28.4,107.8,0.301,0.292,6,16,0.328,47.3,34.2
Ben Williamson,TB,0.26,0.327,0.348,6.5,32.5,108.2,0.341,0.331,6,33,0.257,55.4,39.1
Cedric Mullins,TB,0.193,0.32,0.29,5.8,29.2,107.9,0.284,0.275,6,41,0.374,58.5,36.4
Chandler Simpson,TB,0.273,0.328,0.321,6.2,31.2,108.1,0.315,0.305,6,31,0.144,50.0,38.2
Jonathan Aranda,TB,0.277,0.461,0.392,8.3,41.4,109.2,0.384,0.372,6,50,0.335,69.5,52.0
Junior Caminero,TB,0.278,0.496,0.39,8.6,43.0,109.3,0.382,0.37,6,54,0.459,77.8,54.9
Nick Fortes,TB,0.274,0.36,0.325,6.6,33.0,108.3,0.319,0.309,6,34,0.397,64.2,41.1
Richie Palacios,TB,0.242,0.329,0.361,6.7,33.2,108.3,0.354,0.343,6,37,0.285,56.9,39.8
Ryan Vilade,TB,0.296,0.457,0.371,8.0,40.1,109.0,0.364,0.352,6,33,0.348,63.5,50.9
Taylor Walls,TB,0.22,0.292,0.333,6.0,30.0,108.0,0.326,0.316,6,31,0.402,57.6,35.6
Victor Mesa Jr.,TB,0.181,0.275,0.297,5.5,27.3,107.8,0.291,0.282,6,28,0.265,45.3,32.9
Yandy Díaz,TB,0.334,0.541,0.419,9.3,46.8,109.7,0.411,0.398,6,55,0.47,84.4,59.8
Brandon Nimmo,TEX,0.26,0.412,0.345,7.3,36.6,108.7,0.338,0.328,6,50,0.275,64.8,46.2
Corey Seager,TEX,0.191,0.383,0.299,6.6,32.9,108.3,0.293,0.284,6,22,0.288,44.5,42.2
Evan Carter,TEX,0.181,0.331,0.307,6.1,30.6,108.0,0.301,0.292,6,30,0.282,47.2,38.0
Ezequiel Duran,TEX,0.295,0.455,0.357,7.9,39.4,109.0,0.35,0.339,6,49,0.362,72.1,50.4
Jake Burger,TEX,0.252,0.439,0.319,7.3,36.6,108.7,0.313,0.303,6,47,0.419,69.7,47.5
Joc Pederson,TEX,0.248,0.455,0.365,8.0,39.8,109.0,0.358,0.347,6,43,0.341,63.4,50.6
Josh Jung,TEX,0.313,0.48,0.377,8.3,41.6,109.2,0.369,0.358,6,55,0.379,77.8,53.1
Kyle Higashioka,TEX,0.23,0.37,0.321,6.7,33.3,108.3,0.315,0.305,6,29,0.429,59.0,41.8
Michael Helman,TEX,0.184,0.331,0.248,5.5,27.7,107.8,0.243,0.236,6,16,0.282,40.5,35.9
Nicky Lopez,TEX,0.267,0.367,0.326,6.7,33.4,108.3,0.319,0.31,6,30,0.429,63.2,41.8
Wyatt Langford,TEX,0.229,0.374,0.28,6.3,31.4,108.2,0.274,0.266,6,29,0.256,50.2,40.7
Andrés Giménez,TOR,0.227,0.363,0.284,6.2,31.1,108.1,0.278,0.27,6,42,0.325,60.0,39.9
Brandon Valenzuela,TOR,0.257,0.467,0.348,7.9,39.5,109.0,0.341,0.331,6,32,0.328,58.1,51.0
Ernie Clement,TOR,0.311,0.476,0.341,7.9,39.6,109.0,0.334,0.324,6,51,0.388,76.0,51.5
George Springer,TOR,0.213,0.371,0.318,6.6,33.2,108.3,0.312,0.302,6,41,0.365,60.0,41.8
Jesús Sánchez,TOR,0.301,0.486,0.343,8.0,40.2,109.0,0.336,0.326,6,27,0.385,62.8,52.4
Kazuma Okamoto,TOR,0.235,0.441,0.323,7.4,36.9,108.7,0.317,0.307,6,49,0.362,66.1,47.9
Myles Straw,TOR,0.253,0.349,0.329,6.5,32.6,108.2,0.322,0.313,6,26,0.335,55.0,40.2
Nathan Lukes,TOR,0.314,0.401,0.373,7.5,37.4,108.8,0.366,0.354,6,50,0.415,77.2,46.2
Vladimir Guerrero Jr.,TOR,0.285,0.376,0.387,7.4,36.9,108.7,0.379,0.368,6,53,0.298,69.9,44.7
Yohendrick Piñango,TOR,0.301,0.453,0.346,7.7,38.7,108.8,0.339,0.329,6,33,0.379,65.5,49.7
Alex Jackson,MIN,0.301,0.343,0.336,6.5,32.7,108.2,0.329,0.319,6,18,0.404,59.3,40.0
Austin Martin,MIN,0.25,0.338,0.369,6.8,34.1,108.4,0.362,0.351,6,47,0.249,61.0,40.8
Brooks Lee,MIN,0.244,0.43,0.31,7.1,35.8,108.5,0.304,0.294,6,53,0.279,64.8,46.5
Byron Buxton,MIN,0.271,0.595,0.343,9.1,45.6,109.5,0.336,0.326,6,41,0.405,67.8,61.6
Josh Bell,MIN,0.234,0.375,0.299,6.5,32.5,108.2,0.293,0.284,6,50,0.335,65.2,41.5
Kody Clemens,MIN,0.251,0.497,0.33,8.0,40.1,109.0,0.323,0.314,6,47,0.355,66.3,52.9
Luke Keaschall,MIN,0.248,0.319,0.337,6.3,31.5,108.2,0.33,0.32,6,45,0.371,65.8,38.0
Orlando Arcia,MIN,0.288,0.38,0.328,6.8,34.1,108.4,0.321,0.312,6,28,0.229,54.2,42.9
Royce Lewis,MIN,0.203,0.359,0.3,6.3,31.7,108.2,0.294,0.285,6,25,0.415,53.5,40.1
Ryan Kreidler,MIN,0.231,0.445,0.329,7.5,37.4,108.8,0.322,0.313,6,18,0.293,46.8,48.5
Trevor Larnach,MIN,0.255,0.382,0.373,7.3,36.5,108.7,0.366,0.354,6,38,0.304,59.7,44.7
