Name,Team,xBA,xSLG,xwOBA,Barrel%,HardHit%,Max EV,xwOBA_vs_R,xwOBA_vs_L,Batting_Order,PA_L14,xwOBA_L14,Hit_Prob_Score,HR_Prob_Score
Pete Crow-Armstrong,CHC,0.262,0.454,0.352,7.8,39.0,108.9,0.345,0.334,6,55,0.451,76.2,50.0
Seiya Suzuki,CHC,0.257,0.442,0.35,7.7,38.4,108.8,0.343,0.332,6,46,0.319,64.7,49.0
Blake Dunn,CIN,0.287,0.408,0.348,7.3,36.5,108.7,0.341,0.331,6,50,0.315,69.5,46.0
Dane Myers,CIN,0.268,0.404,0.383,7.6,38.1,108.8,0.375,0.364,6,21,0.444,59.5,46.9
Edwin Arroyo,CIN,0.232,0.237,0.295,5.1,25.3,107.5,0.289,0.28,6,25,0.295,50.5,29.6
Eugenio Suárez,CIN,0.224,0.368,0.302,6.5,32.2,108.2,0.296,0.287,6,45,0.237,56.8,41.0
JJ Bleday,CIN,0.275,0.576,0.379,9.3,46.5,109.7,0.371,0.36,6,56,0.319,71.5,61.3
Matt McLain,CIN,0.21,0.372,0.32,6.7,33.4,108.3,0.314,0.304,6,39,0.374,59.2,42.0
Nathaniel Lowe,CIN,0.257,0.507,0.356,8.4,41.9,109.2,0.349,0.338,6,31,0.305,56.5,54.7
Noelvi Marte,CIN,0.213,0.302,0.284,5.6,28.1,107.8,0.278,0.27,6,21,0.396,51.6,34.8
Sal Stewart,CIN,0.255,0.463,0.364,8.0,40.1,109.0,0.357,0.346,6,53,0.317,67.8,51.2
Spencer Steer,CIN,0.259,0.445,0.352,7.7,38.6,108.8,0.345,0.334,6,49,0.362,68.5,49.2
Tyler Stephenson,CIN,0.213,0.349,0.319,6.4,32.1,108.2,0.313,0.303,6,33,0.318,53.7,39.9
Will Benson,CIN,0.194,0.347,0.328,6.5,32.5,108.2,0.321,0.312,6,17,0.309,43.4,40.1
Angel Martínez,CLE,0.245,0.454,0.292,7.2,36.0,108.6,0.286,0.277,6,44,0.265,59.8,47.9
Austin Hedges,CLE,0.269,0.373,0.348,7.0,34.8,108.5,0.341,0.331,6,22,0.424,59.1,43.0
Brayan Rocchio,CLE,0.282,0.415,0.372,7.6,38.1,108.8,0.365,0.353,6,46,0.298,66.1,47.4
Chase DeLauter,CLE,0.264,0.416,0.35,7.4,37.0,108.7,0.343,0.332,6,46,0.298,64.3,46.7
Daniel Schneemann,CLE,0.232,0.357,0.314,6.5,32.3,108.2,0.308,0.298,6,27,0.163,44.9,40.5
David Fry,CLE,0.252,0.403,0.377,7.5,37.8,108.8,0.369,0.358,6,16,0.453,55.9,46.5
José Ramírez,CLE,0.243,0.425,0.354,7.5,37.7,108.8,0.347,0.336,6,53,0.342,67.9,47.6
Kyle Manzardo,CLE,0.24,0.406,0.339,7.2,36.0,108.6,0.332,0.322,6,40,0.39,63.5,45.5
Patrick Bailey,CLE,0.17,0.258,0.237,4.7,23.5,107.3,0.232,0.225,6,25,0.295,44.2,29.4
Rhys Hoskins,CLE,0.195,0.389,0.352,7.2,35.8,108.6,0.345,0.334,6,34,0.368,54.9,44.5
Steven Kwan,CLE,0.223,0.277,0.341,5.9,29.6,108.0,0.334,0.324,6,34,0.318,55.2,34.6
Stuart Fairchild,CLE,0.105,0.11,0.415,5.0,25.0,107.5,0.407,0.394,6,15,0.415,38.8,23.0
Travis Bazzana,CLE,0.255,0.415,0.356,7.5,37.3,108.8,0.349,0.338,6,53,0.223,63.1,46.9
Brett Sullivan,COL,0.231,0.397,0.278,6.5,32.5,108.2,0.272,0.264,6,16,0.39,50.6,42.6
Chad Stevens,COL,0.041,0.046,0.191,2.1,10.6,106.0,0.187,0.181,6,17,0.191,22.2,9.7
Cole Carrigg,COL,0.272,0.81,0.328,11.1,55.6,110.5,0.321,0.312,6,16,0.328,51.6,79.4
Edouard Julien,COL,0.231,0.315,0.336,6.3,31.3,108.2,0.329,0.319,6,32,0.453,61.8,37.7
Ezequiel Tovar,COL,0.216,0.342,0.274,5.9,29.5,108.0,0.269,0.26,6,43,0.201,53.2,37.8
Hunter Goodman,COL,0.245,0.518,0.33,8.2,41.1,109.1,0.323,0.314,6,55,0.36,70.0,54.7
Jake McCarthy,COL,0.287,0.458,0.341,7.7,38.7,108.8,0.334,0.324,6,44,0.379,69.7,50.0
Kyle Karros,COL,0.237,0.345,0.347,6.7,33.4,108.3,0.34,0.33,6,43,0.457,68.0,40.6
Sterlin Thompson,COL,0.217,0.26,0.32,5.5,27.8,107.8,0.314,0.304,6,32,0.359,55.6,32.4
TJ Rumfield,COL,0.28,0.448,0.375,8.0,39.9,109.0,0.367,0.356,6,45,0.393,70.2,50.4
Troy Johnston,COL,0.316,0.438,0.38,7.9,39.6,109.0,0.372,0.361,6,53,0.355,75.8,49.6
Willi Castro,COL,0.274,0.378,0.351,7.0,35.2,108.5,0.344,0.333,6,51,0.407,73.2,43.5
Colt Keith,DET,0.263,0.347,0.315,6.4,31.9,108.2,0.309,0.299,6,35,0.158,51.7,39.7
Dillon Dingler,DET,0.255,0.527,0.342,8.4,42.2,109.2,0.335,0.325,6,50,0.375,69.2,55.9
Gleyber Torres,DET,0.281,0.398,0.406,7.8,39.0,108.9,0.398,0.386,6,40,0.415,68.8,47.2
Kerry Carpenter,DET,0.236,0.495,0.322,7.9,39.6,109.0,0.316,0.306,6,36,0.348,59.0,52.5
Kevin McGonigle,DET,0.284,0.42,0.401,8.0,39.8,109.0,0.393,0.381,6,49,0.403,73.0,48.9
Matt Vierling,DET,0.21,0.355,0.282,6.1,30.6,108.0,0.276,0.268,6,27,0.2,44.5,39.1
Riley Greene,DET,0.303,0.466,0.404,8.4,42.2,109.2,0.396,0.384,6,53,0.355,74.5,52.8
Spencer Torkelson,DET,0.218,0.427,0.327,7.3,36.4,108.7,0.32,0.311,6,47,0.334,62.0,46.8
Wenceel Pérez,DET,0.191,0.369,0.264,6.1,30.4,108.0,0.259,0.251,6,28,0.336,49.9,39.8
Zach McKinstry,DET,0.185,0.273,0.29,5.4,26.9,107.7,0.284,0.275,6,35,0.397,55.9,32.5
Brice Matthews,HOU,0.214,0.352,0.274,6.0,30.0,108.0,0.269,0.26,6,16,0.265,42.6,38.6
Cam Smith,HOU,0.225,0.372,0.322,6.7,33.5,108.3,0.316,0.306,6,46,0.298,60.4,42.0
Christian Vázquez,HOU,0.234,0.367,0.304,6.5,32.3,108.2,0.298,0.289,6,34,0.221,51.5,41.0
Christian Walker,HOU,0.253,0.51,0.332,8.2,40.8,109.1,0.325,0.315,6,52,0.284,65.5,54.1
Isaac Paredes,HOU,0.238,0.411,0.348,7.3,36.7,108.7,0.341,0.331,6,52,0.38,68.8,46.2
Jake Meyers,HOU,0.215,0.32,0.288,5.8,29.1,107.9,0.282,0.274,6,38,0.278,54.4,36.4
Jeremy Peña,HOU,0.287,0.421,0.372,7.7,38.4,108.8,0.365,0.353,6,49,0.464,76.4,48.0
Jose Altuve,HOU,0.237,0.378,0.331,6.8,34.2,108.4,0.324,0.314,6,25,0.255,49.0,42.8
Taylor Trammell,HOU,0.297,0.399,0.369,7.4,37.1,108.7,0.362,0.351,6,32,0.296,60.5,45.9
Yordan Alvarez,HOU,0.326,0.669,0.448,10.9,54.6,110.5,0.439,0.426,6,52,0.534,85.3,71.7
Bobby Witt Jr.,KC,0.283,0.454,0.368,8.0,39.9,109.0,0.361,0.35,6,62,0.386,78.6,50.6
Carter Jensen,KC,0.22,0.393,0.302,6.7,33.5,108.3,0.296,0.287,6,51,0.231,59.0,43.1
Isaac Collins,KC,0.222,0.317,0.354,6.5,32.3,108.2,0.347,0.336,6,49,0.398,66.6,38.5
Jac Caglianone,KC,0.277,0.456,0.358,7.9,39.4,109.0,0.351,0.34,6,50,0.515,78.5,50.4
Lane Thomas,KC,0.232,0.315,0.372,6.6,33.1,108.3,0.365,0.353,6,36,0.404,61.4,38.9
Maikel Garcia,KC,0.269,0.388,0.34,7.0,35.1,108.5,0.333,0.323,6,29,0.325,57.7,44.0
Michael Massey,KC,0.267,0.466,0.295,7.4,36.8,108.7,0.289,0.28,6,44,0.379,67.7,49.1
Nick Loftin,KC,0.228,0.372,0.348,6.9,34.8,108.5,0.341,0.331,6,39,0.383,61.5,42.9
Salvador Perez,KC,0.21,0.347,0.267,5.9,29.4,108.0,0.262,0.254,6,43,0.201,52.5,38.0
Starling Marte,KC,0.259,0.348,0.331,6.5,32.7,108.2,0.324,0.314,6,16,0.265,47.2,40.2
Vinnie Pasquantino,KC,0.228,0.361,0.324,6.6,33.0,108.3,0.318,0.308,6,59,0.388,71.7,41.2
Alex Call,LAD,0.273,0.339,0.399,7.1,35.6,108.5,0.391,0.379,6,33,0.348,61.2,41.9
Alex Freeland,LAD,0.24,0.351,0.34,6.7,33.3,108.3,0.333,0.323,6,37,0.432,64.1,40.9
Andy Pages,LAD,0.283,0.521,0.338,8.3,41.7,109.2,0.331,0.321,6,59,0.252,70.4,55.2
Dalton Rushing,LAD,0.282,0.546,0.377,9.0,44.9,109.5,0.369,0.358,6,34,0.427,66.5,58.8
Freddie Freeman,LAD,0.286,0.484,0.384,8.4,42.1,109.2,0.376,0.365,6,58,0.394,77.3,53.7
Kyle Tucker,LAD,0.239,0.387,0.346,7.1,35.4,108.5,0.339,0.329,6,52,0.303,65.0,44.1
Max Muncy,LAD,0.267,0.515,0.375,8.6,43.2,109.3,0.367,0.356,6,45,0.393,68.9,56.0
Miguel Rojas,LAD,0.267,0.35,0.334,6.6,33.0,108.3,0.327,0.317,6,23,0.363,56.4,40.6
Mookie Betts,LAD,0.186,0.351,0.265,5.9,29.5,108.0,0.26,0.252,6,53,0.298,60.0,38.2
Ryan Ward,LAD,0.24,0.569,0.272,8.2,40.8,109.1,0.267,0.258,6,29,0.256,51.3,57.0
Santiago Espinal,LAD,0.26,0.374,0.278,6.3,31.3,108.2,0.272,0.264,6,15,0.348,50.9,40.6
Shohei Ohtani,LAD,0.31,0.553,0.436,9.6,48.2,109.8,0.427,0.414,6,53,0.506,82.8,61.4
CJ Abrams,WSH,0.289,0.53,0.39,8.9,44.8,109.5,0.382,0.37,6,46,0.298,66.8,57.8
Curtis Mead,WSH,0.243,0.486,0.359,8.2,41.0,109.1,0.352,0.341,6,45,0.304,62.0,53.0
Daylen Lile,WSH,0.268,0.43,0.335,7.4,37.0,108.7,0.328,0.318,6,50,0.375,70.5,47.4
Drew Millas,WSH,0.185,0.28,0.283,5.4,26.9,107.7,0.277,0.269,6,15,0.415,46.8,32.9
Dylan Crews,WSH,0.194,0.334,0.256,5.6,28.2,107.8,0.251,0.243,6,40,0.24,51.4,36.4
Jacob Young,WSH,0.238,0.401,0.298,6.7,33.7,108.3,0.292,0.283,6,34,0.25,53.3,43.6
James Wood,WSH,0.279,0.555,0.423,9.5,47.6,109.8,0.415,0.402,6,53,0.392,74.0,61.0
Jorbit Vivas,WSH,0.245,0.328,0.335,6.4,31.9,108.2,0.328,0.318,6,30,0.315,55.2,38.8
José Tena,WSH,0.215,0.365,0.284,6.2,31.2,108.1,0.278,0.27,6,21,0.205,42.2,40.0
Keibert Ruiz,WSH,0.273,0.488,0.305,7.7,38.4,108.8,0.299,0.29,6,29,0.325,58.0,51.3
Luis García Jr.,WSH,0.264,0.468,0.3,7.4,37.1,108.7,0.294,0.285,6,42,0.301,62.5,49.4
Nasim Nuñez,WSH,0.208,0.239,0.302,5.2,25.8,107.6,0.296,0.287,6,26,0.335,50.5,30.1
A.J. Ewing,NYM,0.258,0.343,0.345,6.6,33.1,108.3,0.338,0.328,6,48,0.307,65.2,40.3
Bo Bichette,NYM,0.237,0.365,0.295,6.3,31.8,108.2,0.289,0.28,6,50,0.315,64.5,40.5
Brett Baty,NYM,0.229,0.329,0.304,6.1,30.4,108.0,0.298,0.289,6,42,0.205,54.2,37.8
Carson Benge,NYM,0.261,0.401,0.332,7.1,35.4,108.5,0.325,0.315,6,51,0.368,70.0,44.8
Jared Young,NYM,0.276,0.51,0.357,8.4,42.1,109.2,0.35,0.339,6,49,0.321,68.2,55.0
Juan Soto,NYM,0.288,0.565,0.391,9.3,46.6,109.7,0.383,0.371,6,50,0.335,70.5,60.8
Luis Torrens,NYM,0.231,0.34,0.297,6.1,30.6,108.0,0.291,0.282,6,27,0.385,55.9,38.4
MJ Melendez,NYM,0.209,0.408,0.328,7.1,35.5,108.5,0.321,0.312,6,26,0.284,48.1,45.2
Marcus Semien,NYM,0.226,0.359,0.288,6.2,31.1,108.1,0.282,0.274,6,47,0.334,62.8,39.7
Mark Vientos,NYM,0.216,0.376,0.26,6.1,30.5,108.0,0.255,0.247,6,20,0.115,37.4,40.2
