Name,Team,ERA,WHIP,K%,K/9,xBA Allowed,xwOBA Allowed,xSLG Allowed,Bullpen_ERA
Jack Dreyer,LAD,3.68,0.99,27.6,9.8,0.223,0.276,0.427,4.15
Jonathan Hernández,LAD,4.97,1.18,18.9,7.1,0.184,0.298,0.39,4.15
Justin Wrobleski,LAD,2.72,1.01,15.8,5.7,0.225,0.274,0.336,4.15
Kyle Hurt,LAD,3.86,1.16,31.6,11.6,0.224,0.313,0.353,4.15
Roki Sasaki,LAD,4.76,1.33,23.7,9.2,0.255,0.338,0.46,4.15
Tanner Scott,LAD,2.32,0.71,33.3,11.0,0.184,0.211,0.314,4.15
Will Klein,LAD,2.12,1.28,25.8,9.7,0.251,0.33,0.315,4.15
Yoshinobu Yamamoto,LAD,2.52,0.84,24.8,8.4,0.198,0.247,0.346,4.15
Andrew Alvarez,WSH,3.49,1.45,25.6,9.8,0.276,0.354,0.414,4.15
Brad Lord,WSH,2.44,1.02,19.9,7.3,0.209,0.287,0.31,4.15
Cade Cavalli,WSH,3.98,1.39,24.3,9.8,0.28,0.361,0.392,4.15
Clayton Beeter,WSH,3.38,1.22,25.3,9.7,0.177,0.33,0.284,4.15
Foster Griffin,WSH,3.32,1.11,23.1,8.6,0.232,0.304,0.417,4.15
Gus Varland,WSH,5.2,1.66,20.5,8.5,0.304,0.38,0.506,4.15
Miles Mikolas,WSH,5.29,1.25,14.4,5.4,0.269,0.313,0.479,4.15
Mitchell Parker,WSH,6.09,1.38,18.5,7.4,0.291,0.351,0.531,4.15
Orlando Ribalta,WSH,2.66,1.03,17.5,6.2,0.196,0.281,0.306,4.15
PJ Poulin,WSH,3.29,1.5,15.1,5.9,0.24,0.368,0.44,4.15
Paxton Schultz,WSH,5.52,1.53,22.4,9.2,0.302,0.363,0.487,4.15
Richard Lovelady,WSH,2.83,1.81,17.5,7.5,0.296,0.418,0.44,4.15
Zack Littell,WSH,5.45,1.38,13.1,5.2,0.277,0.337,0.543,4.15
A.J. Minter,NYM,0.0,0.68,25.9,8.6,0.164,0.2,0.174,4.15
Austin Warren,NYM,2.63,1.28,24.1,9.2,0.235,0.325,0.402,4.15
Brooks Raley,NYM,2.0,1.26,26.5,10.3,0.228,0.325,0.347,4.15
Cionel Pérez,NYM,5.18,1.48,16.8,6.7,0.263,0.351,0.42,4.15
David Peterson,NYM,5.91,1.63,19.4,8.2,0.299,0.374,0.442,4.15
Devin Williams,NYM,5.01,1.5,35.9,14.3,0.251,0.362,0.399,4.15
Freddy Peralta,NYM,3.9,1.3,22.7,8.8,0.247,0.33,0.405,4.15
Huascar Brazobán,NYM,1.96,0.95,22.4,7.9,0.163,0.269,0.278,4.15
Kodai Senga,NYM,9.0,1.88,24.6,10.5,0.302,0.419,0.572,4.15
Luke Weaver,NYM,2.32,0.9,24.6,8.7,0.19,0.255,0.281,4.15
Nolan McLean,NYM,3.67,1.09,28.2,10.5,0.207,0.307,0.34,4.15
Sean Manaea,NYM,4.78,1.35,23.8,9.4,0.269,0.345,0.449,4.15
Tobias Myers,NYM,5.71,1.24,18.6,7.0,0.256,0.314,0.49,4.15
